Device,Algorithm,Type,Operation,Iteration,Time
Laptop,ECDH,Classical,KeyGen,1,0.000592
Laptop,ECDH,Classical,SharedSecret,1,0.000041
Laptop,ECDSA,Classical,Sign,1,0.000105
Laptop,ECDSA,Classical,Verify,1,0.000004
Laptop,ECDH,Classical,KeyGen,2,0.000440
Laptop,ECDH,Classical,SharedSecret,2,0.000039
Laptop,ECDSA,Classical,Sign,2,0.000095
Laptop,ECDSA,Classical,Verify,2,0.000003
Laptop,ECDH,Classical,KeyGen,3,0.000537
Laptop,ECDH,Classical,SharedSecret,3,0.000042
Laptop,ECDSA,Classical,Sign,3,0.000090
Laptop,ECDSA,Classical,Verify,3,0.000003
Laptop,ECDH,Classical,KeyGen,4,0.000420
Laptop,ECDH,Classical,SharedSecret,4,0.000042
Laptop,ECDSA,Classical,Sign,4,0.000117
Laptop,ECDSA,Classical,Verify,4,0.000003
Laptop,ECDH,Classical,KeyGen,5,0.000469
Laptop,ECDH,Classical,SharedSecret,5,0.000046
Laptop,ECDSA,Classical,Sign,5,0.000102
Laptop,ECDSA,Classical,Verify,5,0.000004
Laptop,ECDH,Classical,KeyGen,6,0.000642
Laptop,ECDH,Classical,SharedSecret,6,0.000046
Laptop,ECDSA,Classical,Sign,6,0.000134
Laptop,ECDSA,Classical,Verify,6,0.000004
Laptop,ECDH,Classical,KeyGen,7,0.000482
Laptop,ECDH,Classical,SharedSecret,7,0.000046
Laptop,ECDSA,Classical,Sign,7,0.000104
Laptop,ECDSA,Classical,Verify,7,0.000004
Laptop,ECDH,Classical,KeyGen,8,0.000494
Laptop,ECDH,Classical,SharedSecret,8,0.000045
Laptop,ECDSA,Classical,Sign,8,0.000099
Laptop,ECDSA,Classical,Verify,8,0.000004
Laptop,ECDH,Classical,KeyGen,9,0.000467
Laptop,ECDH,Classical,SharedSecret,9,0.000049
Laptop,ECDSA,Classical,Sign,9,0.000102
Laptop,ECDSA,Classical,Verify,9,0.000004
Laptop,ECDH,Classical,KeyGen,10,0.000600
Laptop,ECDH,Classical,SharedSecret,10,0.000045
Laptop,ECDSA,Classical,Sign,10,0.000127
Laptop,ECDSA,Classical,Verify,10,0.000004
Laptop,ECDH,Classical,KeyGen,11,0.000460
Laptop,ECDH,Classical,SharedSecret,11,0.000047
Laptop,ECDSA,Classical,Sign,11,0.000103
Laptop,ECDSA,Classical,Verify,11,0.000003
Laptop,ECDH,Classical,KeyGen,12,0.000465
Laptop,ECDH,Classical,SharedSecret,12,0.000047
Laptop,ECDSA,Classical,Sign,12,0.000102
Laptop,ECDSA,Classical,Verify,12,0.000004
Laptop,ECDH,Classical,KeyGen,13,0.000535
Laptop,ECDH,Classical,SharedSecret,13,0.000049
Laptop,ECDSA,Classical,Sign,13,0.000102
Laptop,ECDSA,Classical,Verify,13,0.000003
Laptop,ECDH,Classical,KeyGen,14,0.000467
Laptop,ECDH,Classical,SharedSecret,14,0.000049
Laptop,ECDSA,Classical,Sign,14,0.000103
Laptop,ECDSA,Classical,Verify,14,0.000004
Laptop,ECDH,Classical,KeyGen,15,0.000465
Laptop,ECDH,Classical,SharedSecret,15,0.000049
Laptop,ECDSA,Classical,Sign,15,0.000101
Laptop,ECDSA,Classical,Verify,15,0.000004
Laptop,ECDH,Classical,KeyGen,16,0.000463
Laptop,ECDH,Classical,SharedSecret,16,0.000049
Laptop,ECDSA,Classical,Sign,16,0.000104
Laptop,ECDSA,Classical,Verify,16,0.000004
Laptop,ECDH,Classical,KeyGen,17,0.000526
Laptop,ECDH,Classical,SharedSecret,17,0.000046
Laptop,ECDSA,Classical,Sign,17,0.000099
Laptop,ECDSA,Classical,Verify,17,0.000003
Laptop,ECDH,Classical,KeyGen,18,0.000471
Laptop,ECDH,Classical,SharedSecret,18,0.000049
Laptop,ECDSA,Classical,Sign,18,0.000106
Laptop,ECDSA,Classical,Verify,18,0.000003
Laptop,ECDH,Classical,KeyGen,19,0.000494
Laptop,ECDH,Classical,SharedSecret,19,0.000049
Laptop,ECDSA,Classical,Sign,19,0.000109
Laptop,ECDSA,Classical,Verify,19,0.000004
Laptop,ECDH,Classical,KeyGen,20,0.000468
Laptop,ECDH,Classical,SharedSecret,20,0.000045
Laptop,ECDSA,Classical,Sign,20,0.000100
Laptop,ECDSA,Classical,Verify,20,0.000004
Laptop,ECDH,Classical,KeyGen,21,0.000439
Laptop,ECDH,Classical,SharedSecret,21,0.000049
Laptop,ECDSA,Classical,Sign,21,0.000101
Laptop,ECDSA,Classical,Verify,21,0.000004
Laptop,ECDH,Classical,KeyGen,22,0.000452
Laptop,ECDH,Classical,SharedSecret,22,0.000048
