Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Laptop,ECDH-P256,Classical,KeyGen,1,0.000608,6016,98%
Laptop,ECDH-P256,Classical,Derivation,1,0.000052,6016,98%
Laptop,ECDSA-P256,Classical,Sign,1,0.000154,6016,98%
Laptop,ECDSA-P256,Classical,Verify,1,0.000066,6016,98%
Laptop,RSA-3072,Classical,KeyGen,1,0.296395,6016,98%
Laptop,RSA-3072,Classical,Sign,1,0.000081,6016,98%
Laptop,RSA-3072,Classical,Verify,1,0.000060,6016,98%
Laptop,ECDH-P256,Classical,KeyGen,2,0.000509,6016,99%
Laptop,ECDH-P256,Classical,Derivation,2,0.000048,6016,99%
Laptop,ECDSA-P256,Classical,Sign,2,0.000142,6016,99%
Laptop,ECDSA-P256,Classical,Verify,2,0.000066,6016,99%
Laptop,RSA-3072,Classical,KeyGen,2,0.298190,6016,99%
Laptop,RSA-3072,Classical,Sign,2,0.000051,6016,99%
Laptop,RSA-3072,Classical,Verify,2,0.000055,6016,99%
Laptop,ECDH-P256,Classical,KeyGen,3,0.000500,6016,99%
Laptop,ECDH-P256,Classical,Derivation,3,0.000048,6016,99%
Laptop,ECDSA-P256,Classical,Sign,3,0.000136,6016,99%
Laptop,ECDSA-P256,Classical,Verify,3,0.000066,6016,99%
Laptop,RSA-3072,Classical,KeyGen,3,0.922256,6016,99%
Laptop,RSA-3072,Classical,Sign,3,0.000056,6016,99%
Laptop,RSA-3072,Classical,Verify,3,0.000066,6016,99%
Laptop,ECDH-P256,Classical,KeyGen,4,0.000465,6016,98%
Laptop,ECDH-P256,Classical,Derivation,4,0.000045,6016,98%
Laptop,ECDSA-P256,Classical,Sign,4,0.000126,6016,98%
Laptop,ECDSA-P256,Classical,Verify,4,0.000063,6016,98%
Laptop,RSA-3072,Classical,KeyGen,4,0.567993,6016,98%
Laptop,RSA-3072,Classical,Sign,4,0.000060,6016,98%
Laptop,RSA-3072,Classical,Verify,4,0.000060,6016,98%
Laptop,ECDH-P256,Classical,KeyGen,5,0.000556,6016,99%
Laptop,ECDH-P256,Classical,Derivation,5,0.000050,6016,99%
Laptop,ECDSA-P256,Classical,Sign,5,0.000138,6016,99%
Laptop,ECDSA-P256,Classical,Verify,5,0.000066,6016,99%
Laptop,RSA-3072,Classical,KeyGen,5,0.684302,6016,99%
Laptop,RSA-3072,Classical,Sign,5,0.000057,6016,99%
Laptop,RSA-3072,Classical,Verify,5,0.000055,6016,99%
