Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Laptop,ECDH-P256,Classical,KeyGen,1,0.002168,6016,99%
Laptop,ECDH-P256,Classical,Derivation,1,0.000038,6016,99%
Laptop,ECDSA-P256,Classical,Sign,1,0.000818,6016,99%
Laptop,ECDSA-P256,Classical,Verify,1,0.000061,6016,99%
Laptop,RSA-3072,Classical,KeyGen,1,0.295924,6016,99%
Laptop,RSA-3072,Classical,Sign,1,0.000084,6016,99%
Laptop,RSA-3072,Classical,Verify,1,0.000060,6016,99%
Laptop,ECDH-P256,Classical,KeyGen,2,0.000575,6016,101%
Laptop,ECDH-P256,Classical,Derivation,2,0.000047,6016,101%
Laptop,ECDSA-P256,Classical,Sign,2,0.000133,6016,101%
Laptop,ECDSA-P256,Classical,Verify,2,0.000062,6016,101%
Laptop,RSA-3072,Classical,KeyGen,2,0.226508,6016,101%
Laptop,RSA-3072,Classical,Sign,2,0.000058,6016,101%
Laptop,RSA-3072,Classical,Verify,2,0.000061,6016,101%
Laptop,ECDH-P256,Classical,KeyGen,3,0.000579,6016,101%
Laptop,ECDH-P256,Classical,Derivation,3,0.000044,6016,101%
Laptop,ECDSA-P256,Classical,Sign,3,0.000126,6016,101%
Laptop,ECDSA-P256,Classical,Verify,3,0.000062,6016,101%
Laptop,RSA-3072,Classical,KeyGen,3,0.144093,6016,101%
Laptop,RSA-3072,Classical,Sign,3,0.000084,6016,101%
Laptop,RSA-3072,Classical,Verify,3,0.000061,6016,101%
Laptop,ECDH-P256,Classical,KeyGen,4,0.000495,6016,100%
Laptop,ECDH-P256,Classical,Derivation,4,0.000049,6016,100%
Laptop,ECDSA-P256,Classical,Sign,4,0.000131,6016,100%
Laptop,ECDSA-P256,Classical,Verify,4,0.000065,6016,100%
Laptop,RSA-3072,Classical,KeyGen,4,0.214537,6016,100%
Laptop,RSA-3072,Classical,Sign,4,0.000078,6016,100%
Laptop,RSA-3072,Classical,Verify,4,0.000058,6016,100%
Laptop,ECDH-P256,Classical,KeyGen,5,0.000477,6016,101%
Laptop,ECDH-P256,Classical,Derivation,5,0.000044,6016,101%
Laptop,ECDSA-P256,Classical,Sign,5,0.000135,6016,101%
Laptop,ECDSA-P256,Classical,Verify,5,0.000061,6016,101%
Laptop,RSA-3072,Classical,KeyGen,5,0.284979,6016,101%
Laptop,RSA-3072,Classical,Sign,5,0.000051,6016,101%
Laptop,RSA-3072,Classical,Verify,5,0.000059,6016,101%
