Device,Algorithm,Type,Operation,Iteration,Time
Raspberry PI,ECDH,Classical,KeyGen,1,0.007462
Raspberry PI,ECDH,Classical,SharedSecret,1,0.000710
Raspberry PI,ECDSA,Classical,Sign,1,0.001860
Raspberry PI,ECDSA,Classical,Verify,1,0.000135
Raspberry PI,ECDH,Classical,KeyGen,2,0.002691
Raspberry PI,ECDH,Classical,SharedSecret,2,0.000272
Raspberry PI,ECDSA,Classical,Sign,2,0.000573
Raspberry PI,ECDSA,Classical,Verify,2,0.000036
Raspberry PI,ECDH,Classical,KeyGen,3,0.003025
Raspberry PI,ECDH,Classical,SharedSecret,3,0.000285
Raspberry PI,ECDSA,Classical,Sign,3,0.000649
Raspberry PI,ECDSA,Classical,Verify,3,0.000040
Raspberry PI,ECDH,Classical,KeyGen,4,0.003006
Raspberry PI,ECDH,Classical,SharedSecret,4,0.000282
Raspberry PI,ECDSA,Classical,Sign,4,0.000792
Raspberry PI,ECDSA,Classical,Verify,4,0.000058
Raspberry PI,ECDH,Classical,KeyGen,5,0.002568
Raspberry PI,ECDH,Classical,SharedSecret,5,0.000319
Raspberry PI,ECDSA,Classical,Sign,5,0.000829
Raspberry PI,ECDSA,Classical,Verify,5,0.000058
Raspberry PI,ECDH,Classical,KeyGen,6,0.002523
Raspberry PI,ECDH,Classical,SharedSecret,6,0.000273
Raspberry PI,ECDSA,Classical,Sign,6,0.000546
Raspberry PI,ECDSA,Classical,Verify,6,0.000035
Raspberry PI,ECDH,Classical,KeyGen,7,0.002592
Raspberry PI,ECDH,Classical,SharedSecret,7,0.000273
Raspberry PI,ECDSA,Classical,Sign,7,0.000544
Raspberry PI,ECDSA,Classical,Verify,7,0.000036
Raspberry PI,ECDH,Classical,KeyGen,8,0.002878
Raspberry PI,ECDH,Classical,SharedSecret,8,0.000274
Raspberry PI,ECDSA,Classical,Sign,8,0.000564
Raspberry PI,ECDSA,Classical,Verify,8,0.000035
Raspberry PI,ECDH,Classical,KeyGen,9,0.002714
Raspberry PI,ECDH,Classical,SharedSecret,9,0.000286
Raspberry PI,ECDSA,Classical,Sign,9,0.000837
Raspberry PI,ECDSA,Classical,Verify,9,0.000076
Raspberry PI,ECDH,Classical,KeyGen,10,0.003276
Raspberry PI,ECDH,Classical,SharedSecret,10,0.000281
Raspberry PI,ECDSA,Classical,Sign,10,0.000720
Raspberry PI,ECDSA,Classical,Verify,10,0.000048
Raspberry PI,ECDH,Classical,KeyGen,11,0.002462
Raspberry PI,ECDH,Classical,SharedSecret,11,0.000302
Raspberry PI,ECDSA,Classical,Sign,11,0.000681
Raspberry PI,ECDSA,Classical,Verify,11,0.000055
Raspberry PI,ECDH,Classical,KeyGen,12,0.002584
Raspberry PI,ECDH,Classical,SharedSecret,12,0.000273
Raspberry PI,ECDSA,Classical,Sign,12,0.000549
Raspberry PI,ECDSA,Classical,Verify,12,0.000035
Raspberry PI,ECDH,Classical,KeyGen,13,0.003888
Raspberry PI,ECDH,Classical,SharedSecret,13,0.000286
Raspberry PI,ECDSA,Classical,Sign,13,0.000833
Raspberry PI,ECDSA,Classical,Verify,13,0.000043
Raspberry PI,ECDH,Classical,KeyGen,14,0.002805
Raspberry PI,ECDH,Classical,SharedSecret,14,0.000281
Raspberry PI,ECDSA,Classical,Sign,14,0.000725
Raspberry PI,ECDSA,Classical,Verify,14,0.000056
Raspberry PI,ECDH,Classical,KeyGen,15,0.002461
Raspberry PI,ECDH,Classical,SharedSecret,15,0.000274
Raspberry PI,ECDSA,Classical,Sign,15,0.000719
Raspberry PI,ECDSA,Classical,Verify,15,0.000060
Raspberry PI,ECDH,Classical,KeyGen,16,0.002480
Raspberry PI,ECDH,Classical,SharedSecret,16,0.000272
Raspberry PI,ECDSA,Classical,Sign,16,0.000698
Raspberry PI,ECDSA,Classical,Verify,16,0.000038
Raspberry PI,ECDH,Classical,KeyGen,17,0.002523
Raspberry PI,ECDH,Classical,SharedSecret,17,0.000272
Raspberry PI,ECDSA,Classical,Sign,17,0.000705
Raspberry PI,ECDSA,Classical,Verify,17,0.000036
Raspberry PI,ECDH,Classical,KeyGen,18,0.002818
Raspberry PI,ECDH,Classical,SharedSecret,18,0.000272
Raspberry PI,ECDSA,Classical,Sign,18,0.000549
Raspberry PI,ECDSA,Classical,Verify,18,0.000036
Raspberry PI,ECDH,Classical,KeyGen,19,0.003264
Raspberry PI,ECDH,Classical,SharedSecret,19,0.000278
Raspberry PI,ECDSA,Classical,Sign,19,0.000661
Raspberry PI,ECDSA,Classical,Verify,19,0.000048
Raspberry PI,ECDH,Classical,KeyGen,20,0.003197
Raspberry PI,ECDH,Classical,SharedSecret,20,0.000277
Raspberry PI,ECDSA,Classical,Sign,20,0.000619
Raspberry PI,ECDSA,Classical,Verify,20,0.000043
Raspberry PI,ECDH,Classical,KeyGen,21,0.002492
Raspberry PI,ECDH,Classical,SharedSecret,21,0.000276
Raspberry PI,ECDSA,Classical,Sign,21,0.000975
Raspberry PI,ECDSA,Classical,Verify,21,0.000060
Raspberry PI,ECDH,Classical,KeyGen,22,0.002522
Raspberry PI,ECDH,Classical,SharedSecret,22,0.000273
Raspberry PI,ECDSA,Classical,Sign,22,0.000544
Raspberry PI,ECDSA,Classical,Verify,22,0.000035
Raspberry PI,ECDH,Classical,KeyGen,23,0.002654
Raspberry PI,ECDH,Classical,SharedSecret,23,0.000274
Raspberry PI,ECDSA,Classical,Sign,23,0.000547
Raspberry PI,ECDSA,Classical,Verify,23,0.000035
Raspberry PI,ECDH,Classical,KeyGen,24,0.003291
Raspberry PI,ECDH,Classical,SharedSecret,24,0.000277
Raspberry PI,ECDSA,Classical,Sign,24,0.000658
Raspberry PI,ECDSA,Classical,Verify,24,0.000050
Raspberry PI,ECDH,Classical,KeyGen,25,0.003564
Raspberry PI,ECDH,Classical,SharedSecret,25,0.000398
Raspberry PI,ECDSA,Classical,Sign,25,0.000628
Raspberry PI,ECDSA,Classical,Verify,25,0.000045
Raspberry PI,ECDH,Classical,KeyGen,26,0.003373
Raspberry PI,ECDH,Classical,SharedSecret,26,0.000279
Raspberry PI,ECDSA,Classical,Sign,26,0.000637
Raspberry PI,ECDSA,Classical,Verify,26,0.000043
Raspberry PI,ECDH,Classical,KeyGen,27,0.002555
Raspberry PI,ECDH,Classical,SharedSecret,27,0.000288
Raspberry PI,ECDSA,Classical,Sign,27,0.000786
Raspberry PI,ECDSA,Classical,Verify,27,0.000050
Raspberry PI,ECDH,Classical,KeyGen,28,0.002465
Raspberry PI,ECDH,Classical,SharedSecret,28,0.000364
Raspberry PI,ECDSA,Classical,Sign,28,0.000859
Raspberry PI,ECDSA,Classical,Verify,28,0.000063
