Device,Algorithm,Type,Operation,Iteration,Time
Laptop,ECDH-P256,Classical,KeyGen,1,0.001912
Laptop,ECDH-P256,Classical,Derivation,1,0.000048
Laptop,ECDSA-P256,Classical,Sign,1,0.000715
Laptop,ECDSA-P256,Classical,Verify,1,0.000054
Laptop,RSA-3072,Classical,KeyGen,1,0.346200
Laptop,RSA-3072,Classical,Sign,1,0.000079
Laptop,RSA-3072,Classical,Verify,1,0.000061
Laptop,ECDH-P256,Classical,KeyGen,2,0.000538
Laptop,ECDH-P256,Classical,Derivation,2,0.000045
Laptop,ECDSA-P256,Classical,Sign,2,0.000236
Laptop,ECDSA-P256,Classical,Verify,2,0.000065
Laptop,RSA-3072,Classical,KeyGen,2,0.340118
Laptop,RSA-3072,Classical,Sign,2,0.000076
Laptop,RSA-3072,Classical,Verify,2,0.000058
Laptop,ECDH-P256,Classical,KeyGen,3,0.000412
Laptop,ECDH-P256,Classical,Derivation,3,0.000076
Laptop,ECDSA-P256,Classical,Sign,3,0.000119
Laptop,ECDSA-P256,Classical,Verify,3,0.000059
Laptop,RSA-3072,Classical,KeyGen,3,0.204052
Laptop,RSA-3072,Classical,Sign,3,0.000081
Laptop,RSA-3072,Classical,Verify,3,0.000059
Laptop,ECDH-P256,Classical,KeyGen,4,0.000558
Laptop,ECDH-P256,Classical,Derivation,4,0.000041
Laptop,ECDSA-P256,Classical,Sign,4,0.000113
Laptop,ECDSA-P256,Classical,Verify,4,0.000053
Laptop,RSA-3072,Classical,KeyGen,4,0.116845
Laptop,RSA-3072,Classical,Sign,4,0.000055
Laptop,RSA-3072,Classical,Verify,4,0.000058
Laptop,ECDH-P256,Classical,KeyGen,5,0.000495
Laptop,ECDH-P256,Classical,Derivation,5,0.000041
Laptop,ECDSA-P256,Classical,Sign,5,0.000110
Laptop,ECDSA-P256,Classical,Verify,5,0.000053
Laptop,RSA-3072,Classical,KeyGen,5,0.734231
Laptop,RSA-3072,Classical,Sign,5,0.000057
Laptop,RSA-3072,Classical,Verify,5,0.000058
