Device,Algorithm,Type,Operation,Iteration,Time
Laptop,ECDH,Classical,KeyGen,1,0.002391
Laptop,ECDSA,Classical,Sign,1,0.000156
Laptop,ECDSA,Classical,Verify,1,0.000005
Laptop,ECDH,Classical,KeyGen,2,0.000582
Laptop,ECDSA,Classical,Sign,2,0.000132
Laptop,ECDSA,Classical,Verify,2,0.000005
Laptop,ECDH,Classical,KeyGen,3,0.000613
Laptop,ECDSA,Classical,Sign,3,0.000129
Laptop,ECDSA,Classical,Verify,3,0.000005
Laptop,ECDH,Classical,KeyGen,4,0.000589
Laptop,ECDSA,Classical,Sign,4,0.000135
Laptop,ECDSA,Classical,Verify,4,0.000005
Laptop,ECDH,Classical,KeyGen,5,0.000567
Laptop,ECDSA,Classical,Sign,5,0.000124
Laptop,ECDSA,Classical,Verify,5,0.000005
Laptop,ECDH,Classical,KeyGen,6,0.000575
Laptop,ECDSA,Classical,Sign,6,0.000127
Laptop,ECDSA,Classical,Verify,6,0.000005
Laptop,ECDH,Classical,KeyGen,7,0.000689
Laptop,ECDSA,Classical,Sign,7,0.000151
Laptop,ECDSA,Classical,Verify,7,0.000005
Laptop,ECDH,Classical,KeyGen,8,0.000572
Laptop,ECDSA,Classical,Sign,8,0.000125
Laptop,ECDSA,Classical,Verify,8,0.000005
Laptop,ECDH,Classical,KeyGen,9,0.000577
Laptop,ECDSA,Classical,Sign,9,0.000127
Laptop,ECDSA,Classical,Verify,9,0.000005
Laptop,ECDH,Classical,KeyGen,10,0.000620
Laptop,ECDSA,Classical,Sign,10,0.000127
Laptop,ECDSA,Classical,Verify,10,0.000005
