Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU,CommSize
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,1,0.025129,7040,96%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,1,0.000091,7040,96%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,1,0.000151,7040,96%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,2,0.033044,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,2,0.000071,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,2,0.000147,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,3,0.040852,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,3,0.000054,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,3,0.000140,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,4,0.029992,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,4,0.000049,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,4,0.000157,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,5,0.028733,7168,100%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,5,0.000065,7168,100%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,5,0.000151,7168,100%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,6,0.037439,7168,100%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,6,0.000049,7168,100%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,6,0.000163,7168,100%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,7,0.033912,7168,86%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,7,0.000074,7168,86%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,7,0.000179,7168,86%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,8,0.035720,7040,97%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,8,0.000049,7040,97%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,8,0.000195,7040,97%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,9,0.075424,7168,98%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,9,0.000074,7168,98%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,9,0.000184,7168,98%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,10,0.032051,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,10,0.000051,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,10,0.000165,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,11,0.063189,7168,100%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,11,0.000055,7168,100%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,11,0.000170,7168,100%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,12,0.036000,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,12,0.000053,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,12,0.000183,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,13,0.031877,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,13,0.000049,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,13,0.000161,7040,100%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,14,0.030973,6912,100%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,14,0.000064,6912,100%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,14,0.000162,6912,100%,
RaspberryPi_5,Classic-McEliece,PQC,KeyGen,15,0.033171,7168,100%,
RaspberryPi_5,Classic-McEliece,PQC,Encapsulation,15,0.000056,7168,100%,
RaspberryPi_5,Classic-McEliece,PQC,Decapsulation,15,0.000158,7168,100%,
