Device,Algorithm,Type,Operation,Iteration,Time
Laptop,Kyber-768,PQC,KeyGen,1,0.001466
Laptop,Kyber-768,PQC,Encapsulation,1,0.000031
Laptop,Kyber-768,PQC,Decapsulation,1,0.000013
Laptop,BIKE-L1,PQC,KeyGen,1,0.000204
Laptop,BIKE-L1,PQC,Encapsulation,1,0.000036
Laptop,BIKE-L1,PQC,Decapsulation,1,0.000518
Laptop,Classic-McEliece,PQC,KeyGen,1,0.036845
Laptop,Classic-McEliece,PQC,Encapsulation,1,0.000038
Laptop,Classic-McEliece,PQC,Decapsulation,1,0.000119
Laptop,Kyber-768,PQC,KeyGen,2,0.001249
Laptop,Kyber-768,PQC,Encapsulation,2,0.000020
Laptop,Kyber-768,PQC,Decapsulation,2,0.000013
Laptop,BIKE-L1,PQC,KeyGen,2,0.000214
Laptop,BIKE-L1,PQC,Encapsulation,2,0.000036
Laptop,BIKE-L1,PQC,Decapsulation,2,0.000500
Laptop,Classic-McEliece,PQC,KeyGen,2,0.033555
Laptop,Classic-McEliece,PQC,Encapsulation,2,0.000062
Laptop,Classic-McEliece,PQC,Decapsulation,2,0.000112
Laptop,Kyber-768,PQC,KeyGen,3,0.001169
Laptop,Kyber-768,PQC,Encapsulation,3,0.000022
Laptop,Kyber-768,PQC,Decapsulation,3,0.000014
Laptop,BIKE-L1,PQC,KeyGen,3,0.000208
Laptop,BIKE-L1,PQC,Encapsulation,3,0.000036
Laptop,BIKE-L1,PQC,Decapsulation,3,0.000474
Laptop,Classic-McEliece,PQC,KeyGen,3,0.027426
Laptop,Classic-McEliece,PQC,Encapsulation,3,0.000056
Laptop,Classic-McEliece,PQC,Decapsulation,3,0.000122
Laptop,Kyber-768,PQC,KeyGen,4,0.001115
Laptop,Kyber-768,PQC,Encapsulation,4,0.000018
Laptop,Kyber-768,PQC,Decapsulation,4,0.000015
Laptop,BIKE-L1,PQC,KeyGen,4,0.000235
Laptop,BIKE-L1,PQC,Encapsulation,4,0.000035
Laptop,BIKE-L1,PQC,Decapsulation,4,0.000548
Laptop,Classic-McEliece,PQC,KeyGen,4,0.028485
Laptop,Classic-McEliece,PQC,Encapsulation,4,0.000053
Laptop,Classic-McEliece,PQC,Decapsulation,4,0.000110
Laptop,Kyber-768,PQC,KeyGen,5,0.001184
Laptop,Kyber-768,PQC,Encapsulation,5,0.000035
Laptop,Kyber-768,PQC,Decapsulation,5,0.000013
Laptop,BIKE-L1,PQC,KeyGen,5,0.000201
Laptop,BIKE-L1,PQC,Encapsulation,5,0.000036
Laptop,BIKE-L1,PQC,Decapsulation,5,0.000598
Laptop,Classic-McEliece,PQC,KeyGen,5,0.023022
Laptop,Classic-McEliece,PQC,Encapsulation,5,0.000036
Laptop,Classic-McEliece,PQC,Decapsulation,5,0.000113
