Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Laptop,Kyber-768,PQC,KeyGen,1,0.003040,6912,82%
Laptop,Kyber-768,PQC,Encapsulation,1,0.000021,6912,82%
Laptop,Kyber-768,PQC,Decapsulation,1,0.000013,6912,82%
Laptop,BIKE-L1,PQC,KeyGen,1,0.000194,6912,82%
Laptop,BIKE-L1,PQC,Encapsulation,1,0.000035,6912,82%
Laptop,BIKE-L1,PQC,Decapsulation,1,0.000519,6912,82%
Laptop,Classic-McEliece,PQC,KeyGen,1,0.023719,6912,82%
Laptop,Classic-McEliece,PQC,Encapsulation,1,0.000049,6912,82%
Laptop,Classic-McEliece,PQC,Decapsulation,1,0.000238,6912,82%
Laptop,Kyber-768,PQC,KeyGen,2,0.001241,7040,96%
Laptop,Kyber-768,PQC,Encapsulation,2,0.000022,7040,96%
Laptop,Kyber-768,PQC,Decapsulation,2,0.000014,7040,96%
Laptop,BIKE-L1,PQC,KeyGen,2,0.000229,7040,96%
Laptop,BIKE-L1,PQC,Encapsulation,2,0.000039,7040,96%
Laptop,BIKE-L1,PQC,Decapsulation,2,0.000556,7040,96%
Laptop,Classic-McEliece,PQC,KeyGen,2,0.025275,7040,96%
Laptop,Classic-McEliece,PQC,Encapsulation,2,0.000066,7040,96%
Laptop,Classic-McEliece,PQC,Decapsulation,2,0.000134,7040,96%
Laptop,Kyber-768,PQC,KeyGen,3,0.001246,6912,94%
Laptop,Kyber-768,PQC,Encapsulation,3,0.000023,6912,94%
Laptop,Kyber-768,PQC,Decapsulation,3,0.000014,6912,94%
Laptop,BIKE-L1,PQC,KeyGen,3,0.000230,6912,94%
Laptop,BIKE-L1,PQC,Encapsulation,3,0.000038,6912,94%
Laptop,BIKE-L1,PQC,Decapsulation,3,0.000541,6912,94%
Laptop,Classic-McEliece,PQC,KeyGen,3,0.030559,6912,94%
Laptop,Classic-McEliece,PQC,Encapsulation,3,0.000072,6912,94%
Laptop,Classic-McEliece,PQC,Decapsulation,3,0.000119,6912,94%
Laptop,Kyber-768,PQC,KeyGen,4,0.001222,6912,100%
Laptop,Kyber-768,PQC,Encapsulation,4,0.000021,6912,100%
Laptop,Kyber-768,PQC,Decapsulation,4,0.000013,6912,100%
Laptop,BIKE-L1,PQC,KeyGen,4,0.000197,6912,100%
Laptop,BIKE-L1,PQC,Encapsulation,4,0.000036,6912,100%
Laptop,BIKE-L1,PQC,Decapsulation,4,0.000555,6912,100%
Laptop,Classic-McEliece,PQC,KeyGen,4,0.033960,6912,100%
Laptop,Classic-McEliece,PQC,Encapsulation,4,0.000082,6912,100%
Laptop,Classic-McEliece,PQC,Decapsulation,4,0.000121,6912,100%
Laptop,Kyber-768,PQC,KeyGen,5,0.001184,6784,95%
Laptop,Kyber-768,PQC,Encapsulation,5,0.000020,6784,95%
Laptop,Kyber-768,PQC,Decapsulation,5,0.000015,6784,95%
Laptop,BIKE-L1,PQC,KeyGen,5,0.000196,6784,95%
Laptop,BIKE-L1,PQC,Encapsulation,5,0.000036,6784,95%
Laptop,BIKE-L1,PQC,Decapsulation,5,0.000561,6784,95%
Laptop,Classic-McEliece,PQC,KeyGen,5,0.038152,6784,95%
Laptop,Classic-McEliece,PQC,Encapsulation,5,0.000074,6784,95%
Laptop,Classic-McEliece,PQC,Decapsulation,5,0.000137,6784,95%
