Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Laptop,Kyber-768,PQC,KeyGen,1,0.001002,7168,100%
Laptop,Kyber-768,PQC,Encapsulation,1,0.000018,7168,100%
Laptop,Kyber-768,PQC,Decapsulation,1,0.000011,7168,100%
Laptop,BIKE-L1,PQC,KeyGen,1,0.000172,7168,100%
Laptop,BIKE-L1,PQC,Encapsulation,1,0.000031,7168,100%
Laptop,BIKE-L1,PQC,Decapsulation,1,0.000443,7168,100%
Laptop,Classic-McEliece,PQC,KeyGen,1,0.023820,7168,100%
Laptop,Classic-McEliece,PQC,Encapsulation,1,0.000036,7168,100%
Laptop,Classic-McEliece,PQC,Decapsulation,1,0.000127,7168,100%
Laptop,Kyber-768,PQC,KeyGen,2,0.001152,7168,97%
Laptop,Kyber-768,PQC,Encapsulation,2,0.000017,7168,97%
Laptop,Kyber-768,PQC,Decapsulation,2,0.000013,7168,97%
Laptop,BIKE-L1,PQC,KeyGen,2,0.000187,7168,97%
Laptop,BIKE-L1,PQC,Encapsulation,2,0.000036,7168,97%
Laptop,BIKE-L1,PQC,Decapsulation,2,0.000512,7168,97%
Laptop,Classic-McEliece,PQC,KeyGen,2,0.039565,7168,97%
Laptop,Classic-McEliece,PQC,Encapsulation,2,0.000047,7168,97%
Laptop,Classic-McEliece,PQC,Decapsulation,2,0.000109,7168,97%
Laptop,Kyber-768,PQC,KeyGen,3,0.001153,7040,100%
Laptop,Kyber-768,PQC,Encapsulation,3,0.000020,7040,100%
Laptop,Kyber-768,PQC,Decapsulation,3,0.000013,7040,100%
Laptop,BIKE-L1,PQC,KeyGen,3,0.000189,7040,100%
Laptop,BIKE-L1,PQC,Encapsulation,3,0.000038,7040,100%
Laptop,BIKE-L1,PQC,Decapsulation,3,0.000563,7040,100%
Laptop,Classic-McEliece,PQC,KeyGen,3,0.021980,7040,100%
Laptop,Classic-McEliece,PQC,Encapsulation,3,0.000030,7040,100%
Laptop,Classic-McEliece,PQC,Decapsulation,3,0.000114,7040,100%
Laptop,Kyber-768,PQC,KeyGen,4,0.001268,7168,97%
Laptop,Kyber-768,PQC,Encapsulation,4,0.000021,7168,97%
Laptop,Kyber-768,PQC,Decapsulation,4,0.000014,7168,97%
Laptop,BIKE-L1,PQC,KeyGen,4,0.000209,7168,97%
Laptop,BIKE-L1,PQC,Encapsulation,4,0.000043,7168,97%
Laptop,BIKE-L1,PQC,Decapsulation,4,0.000527,7168,97%
Laptop,Classic-McEliece,PQC,KeyGen,4,0.039448,7168,97%
Laptop,Classic-McEliece,PQC,Encapsulation,4,0.000052,7168,97%
Laptop,Classic-McEliece,PQC,Decapsulation,4,0.000114,7168,97%
Laptop,Kyber-768,PQC,KeyGen,5,0.001231,7168,100%
Laptop,Kyber-768,PQC,Encapsulation,5,0.000021,7168,100%
Laptop,Kyber-768,PQC,Decapsulation,5,0.000014,7168,100%
Laptop,BIKE-L1,PQC,KeyGen,5,0.000224,7168,100%
Laptop,BIKE-L1,PQC,Encapsulation,5,0.000038,7168,100%
Laptop,BIKE-L1,PQC,Decapsulation,5,0.000516,7168,100%
Laptop,Classic-McEliece,PQC,KeyGen,5,0.035045,7168,100%
Laptop,Classic-McEliece,PQC,Encapsulation,5,0.000046,7168,100%
Laptop,Classic-McEliece,PQC,Decapsulation,5,0.000113,7168,100%
