Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Raspberry Pi,Kyber-768,PQC,KeyGen,1,0.014402,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,1,0.000327,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,1,0.000417,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,1,0.086649,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,1,0.002807,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,1,0.043129,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,1,0.186836,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,1,0.000300,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,1,0.067102,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,2,0.005342,6380,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,2,0.000114,6380,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,2,0.000089,6380,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,2,0.052495,6380,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,2,0.002754,6380,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,2,0.043025,6380,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,2,0.186774,6380,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,2,0.000325,6380,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,2,0.066673,6380,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,3,0.005276,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,3,0.000117,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,3,0.000090,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,3,0.051594,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,3,0.002763,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,3,0.042811,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,3,0.441972,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,3,0.000345,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,3,0.067070,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,4,0.005492,6324,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,4,0.000108,6324,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,4,0.000098,6324,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,4,0.051822,6324,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,4,0.002754,6324,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,4,0.042811,6324,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,4,0.453899,6324,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,4,0.000415,6324,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,4,0.066941,6324,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,5,0.005322,6392,100%
Raspberry Pi,Kyber-768,PQC,Encapsulation,5,0.000108,6392,100%
Raspberry Pi,Kyber-768,PQC,Decapsulation,5,0.000098,6392,100%
Raspberry Pi,BIKE-L1,PQC,KeyGen,5,0.051499,6392,100%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,5,0.002762,6392,100%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,5,0.042647,6392,100%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,5,0.960466,6392,100%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,5,0.000363,6392,100%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,5,0.066520,6392,100%
Raspberry Pi,Kyber-768,PQC,KeyGen,6,0.005434,6264,99%
