Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Raspberry Pi,Kyber-768,PQC,KeyGen,1,0.015128,6272,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,1,0.000354,6272,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,1,0.000320,6272,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,1,0.082187,6272,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,1,0.004120,6272,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,1,0.052180,6272,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,1,0.874144,6272,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,1,0.000336,6272,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,1,0.066565,6272,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,2,0.005350,6380,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,2,0.000116,6380,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,2,0.000088,6380,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,2,0.051619,6380,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,2,0.002751,6380,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,2,0.042396,6380,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,2,0.356118,6380,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,2,0.000334,6380,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,2,0.066562,6380,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,3,0.005459,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,3,0.000110,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,3,0.000100,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,3,0.051529,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,3,0.002752,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,3,0.042257,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,3,0.614970,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,3,0.000316,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,3,0.066522,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,4,0.005534,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,4,0.000109,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,4,0.000098,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,4,0.051597,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,4,0.002752,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,4,0.042183,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,4,1.047340,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,4,0.000333,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,4,0.066500,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,5,0.005272,6136,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,5,0.000115,6136,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,5,0.000088,6136,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,5,0.051608,6136,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,5,0.002793,6136,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,5,0.042154,6136,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,5,0.614306,6136,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,5,0.000324,6136,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,5,0.066512,6136,99%
