Device,Algorithm,Type,Operation,Iteration,Time
Laptop,ML-DSA-44,PQC,KeyGen,1,0.001784
Laptop,ML-DSA-44,PQC,Sign,1,0.000069
Laptop,ML-DSA-44,PQC,Verify,1,0.000037
Laptop,Falcon-512,PQC,KeyGen,1,0.004355
Laptop,Falcon-512,PQC,Sign,1,0.000168
Laptop,Falcon-512,PQC,Verify,1,0.000030
Laptop,SLH-DSA-128f,PQC,KeyGen,1,0.000829
Laptop,SLH-DSA-128f,PQC,Sign,1,0.018626
Laptop,SLH-DSA-128f,PQC,Verify,1,0.001177
Laptop,ML-DSA-44,PQC,KeyGen,2,0.001133
Laptop,ML-DSA-44,PQC,Sign,2,0.000048
Laptop,ML-DSA-44,PQC,Verify,2,0.000028
Laptop,Falcon-512,PQC,KeyGen,2,0.004433
Laptop,Falcon-512,PQC,Sign,2,0.000157
Laptop,Falcon-512,PQC,Verify,2,0.000030
Laptop,SLH-DSA-128f,PQC,KeyGen,2,0.000761
Laptop,SLH-DSA-128f,PQC,Sign,2,0.018009
Laptop,SLH-DSA-128f,PQC,Verify,2,0.001154
Laptop,ML-DSA-44,PQC,KeyGen,3,0.001158
Laptop,ML-DSA-44,PQC,Sign,3,0.000152
Laptop,ML-DSA-44,PQC,Verify,3,0.000022
Laptop,Falcon-512,PQC,KeyGen,3,0.008399
Laptop,Falcon-512,PQC,Sign,3,0.000179
Laptop,Falcon-512,PQC,Verify,3,0.000034
Laptop,SLH-DSA-128f,PQC,KeyGen,3,0.000971
Laptop,SLH-DSA-128f,PQC,Sign,3,0.018398
Laptop,SLH-DSA-128f,PQC,Verify,3,0.001112
Laptop,ML-DSA-44,PQC,KeyGen,4,0.001240
Laptop,ML-DSA-44,PQC,Sign,4,0.000057
Laptop,ML-DSA-44,PQC,Verify,4,0.000028
Laptop,Falcon-512,PQC,KeyGen,4,0.004330
Laptop,Falcon-512,PQC,Sign,4,0.000189
Laptop,Falcon-512,PQC,Verify,4,0.000035
Laptop,SLH-DSA-128f,PQC,KeyGen,4,0.000879
Laptop,SLH-DSA-128f,PQC,Sign,4,0.018081
Laptop,SLH-DSA-128f,PQC,Verify,4,0.001038
Laptop,ML-DSA-44,PQC,KeyGen,5,0.001128
Laptop,ML-DSA-44,PQC,Sign,5,0.000048
Laptop,ML-DSA-44,PQC,Verify,5,0.000028
Laptop,Falcon-512,PQC,KeyGen,5,0.003988
Laptop,Falcon-512,PQC,Sign,5,0.000182
Laptop,Falcon-512,PQC,Verify,5,0.000034
Laptop,SLH-DSA-128f,PQC,KeyGen,5,0.000960
Laptop,SLH-DSA-128f,PQC,Sign,5,0.017845
Laptop,SLH-DSA-128f,PQC,Verify,5,0.001444
