Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Raspberri Pi,ML-DSA-44,PQC,KeyGen,1,0.012218,5880,98%
Raspberri Pi,ML-DSA-44,PQC,Sign,1,0.000583,5880,98%
Raspberri Pi,ML-DSA-44,PQC,Verify,1,0.000329,5880,98%
Raspberri Pi,Falcon-512,PQC,KeyGen,1,0.101042,5880,98%
Raspberri Pi,Falcon-512,PQC,Sign,1,0.000843,5880,98%
Raspberri Pi,Falcon-512,PQC,Verify,1,0.000113,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,1,0.002769,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,1,0.063909,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,1,0.003758,5880,98%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,2,0.005608,5880,98%
Raspberri Pi,ML-DSA-44,PQC,Sign,2,0.000411,5880,98%
Raspberri Pi,ML-DSA-44,PQC,Verify,2,0.000168,5880,98%
Raspberri Pi,Falcon-512,PQC,KeyGen,2,0.040611,5880,98%
Raspberri Pi,Falcon-512,PQC,Sign,2,0.000850,5880,98%
Raspberri Pi,Falcon-512,PQC,Verify,2,0.000114,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,2,0.002762,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,2,0.063834,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,2,0.003834,5880,98%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,3,0.005527,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,3,0.001692,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,3,0.000166,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,3,0.020101,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,3,0.001016,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,3,0.000125,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,3,0.002842,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,3,0.063976,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,3,0.003924,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,4,0.005693,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Sign,4,0.000350,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Verify,4,0.000169,5880,99%
Raspberri Pi,Falcon-512,PQC,KeyGen,4,0.024952,5880,99%
Raspberri Pi,Falcon-512,PQC,Sign,4,0.000920,5880,99%
Raspberri Pi,Falcon-512,PQC,Verify,4,0.000115,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,4,0.002767,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,4,0.063757,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,4,0.003871,5880,99%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,5,0.005512,5868,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,5,0.001104,5868,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,5,0.000168,5868,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,5,0.025474,5868,100%
Raspberri Pi,Falcon-512,PQC,Sign,5,0.000875,5868,100%
Raspberri Pi,Falcon-512,PQC,Verify,5,0.000115,5868,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,5,0.002757,5868,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,5,0.063872,5868,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,5,0.003859,5868,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,6,0.007777,5880,96%
Raspberri Pi,ML-DSA-44,PQC,Sign,6,0.000323,5880,96%
Raspberri Pi,ML-DSA-44,PQC,Verify,6,0.000165,5880,96%
Raspberri Pi,Falcon-512,PQC,KeyGen,6,0.016518,5880,96%
Raspberri Pi,Falcon-512,PQC,Sign,6,0.000902,5880,96%
Raspberri Pi,Falcon-512,PQC,Verify,6,0.000127,5880,96%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,6,0.002805,5880,96%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,6,0.064499,5880,96%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,6,0.003943,5880,96%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,7,0.005691,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,7,0.000371,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,7,0.000170,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,7,0.017569,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,7,0.000998,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,7,0.000133,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,7,0.002840,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,7,0.064003,5880,100%
