Device,Algorithm,Type,Operation,Iteration,Time
Laptop,ML-DSA-44,PQC,KeyGen,1,0.007163
Laptop,ML-DSA-44,PQC,Sign,1,0.000189
Laptop,ML-DSA-44,PQC,Verify,1,0.000034
Laptop,ML-DSA-44,PQC,Sign,1,
Laptop,ML-DSA-44,PQC,KeyGen,2,0.005086
Laptop,ML-DSA-44,PQC,Sign,2,0.000211
Laptop,ML-DSA-44,PQC,Verify,2,0.000038
Laptop,ML-DSA-44,PQC,Sign,2,
Laptop,ML-DSA-44,PQC,KeyGen,3,0.007886
Laptop,ML-DSA-44,PQC,Sign,3,0.000182
Laptop,ML-DSA-44,PQC,Verify,3,0.000030
Laptop,ML-DSA-44,PQC,Sign,3,
Laptop,ML-DSA-44,PQC,KeyGen,4,0.004586
Laptop,ML-DSA-44,PQC,Sign,4,0.000171
Laptop,ML-DSA-44,PQC,Verify,4,0.000030
Laptop,ML-DSA-44,PQC,Sign,4,
Laptop,ML-DSA-44,PQC,KeyGen,5,0.006423
Laptop,ML-DSA-44,PQC,Sign,5,0.000156
Laptop,ML-DSA-44,PQC,Verify,5,0.000030
Laptop,ML-DSA-44,PQC,Sign,5,
